# Sternheimer (uncoupled CPKS) confined-ion static polarizabilities
# rmax = 3.6*R99(neutral) (the HI density-reference box). alpha in a0^3.
# ratio = alpha(Z,q)/alpha(Z,0) -- the neutral-calibrated charge factor.
# Z sym q alpha_a0^3 rmax ratio
 46 Pd +1      47.4261   11.850    1.02233
 47 Ag -1     677.4841   12.741    7.47285
 47 Ag +0      90.6594   12.741    1.00000
 47 Ag +1      15.6019   12.741    0.17209
 48 Cd -1     749.2297   13.194    7.09924
 48 Cd +0     105.5366   13.194    1.00000
 48 Cd +1      39.9936   13.194    0.37896
 49 In -1    1460.0800   14.896   11.87216
 49 In +0     122.9835   14.896    1.00000
 49 In +1      52.7844   14.896    0.42920
 50 Sn -1     567.9397   15.043    5.61258
 50 Sn +0     101.1905   15.043    1.00000
 50 Sn +1      50.9086   15.043    0.50310
 51 Sb -1     250.4058   14.630    3.04936
 51 Sb +0      82.1175   14.630    1.00000
 51 Sb +1      45.8672   14.630    0.55856
 52 Te -1     140.9433   14.065    2.08612
 52 Te +0      67.5624   14.065    1.00000
 52 Te +1      40.5712   14.065    0.60050
 53  I -1     120.9354   13.526    2.14175
 53  I +0      56.4657   13.526    1.00000
 53  I +1      35.7695   13.526    0.63347
 54 Xe -1     763.1405   12.987   15.94759
 54 Xe +0      47.8530   12.987    1.00000
 54 Xe +1      31.5962   12.987    0.66028
 55 Cs -1    5455.2206   18.871    9.04867
 55 Cs +0     602.8752   18.871    1.00000
 55 Cs +1      28.0152   18.871    0.04647
 56 Ba -1    4570.3493   20.117    8.01553
 56 Ba +0     570.1867   20.117    1.00000
 56 Ba +1     191.7006   20.117    0.33621
 57 La -1  197181.5206   19.066  428.85894
 57 La +0     459.7818   19.066    1.00000
 57 La +1     245.0527   19.066    0.53298
 58 Ce -1    1204.9841   18.699    2.73408
 58 Ce +0     440.7272   18.699    1.00000
 58 Ce +1     211.6978   18.699    0.48034
 59 Pr -1    2340.6935   18.754    4.68389
 59 Pr +0     499.7326   18.754    1.00000
 59 Pr +1     202.7194   18.754    0.40566
 60 Nd -1    5069.7274   18.404   10.66303
 60 Nd +0     475.4489   18.404    1.00000
 60 Nd +1 508225279.5008   18.404 1068937.66770
 61 Pm -1    6131.6548   18.067   13.46865
 61 Pm +0     455.2540   18.067    1.00000
 61 Pm +1 605968879.3504   18.067 1331056.65647
 62 Sm -1    5260.9320   17.740   12.02914
 62 Sm +0     437.3489   17.740    1.00000
 62 Sm +1     197.0163   17.740    0.45048
 63 Eu -1    2855.4622   17.423    6.78210
 63 Eu +0     421.0293   17.423    1.00000
 63 Eu +1     189.4640   17.423    0.45000
 64 Gd -1   -6168.2365   16.946  -17.34625
 64 Gd +0     355.5947   16.946    1.00000
 64 Gd +1     182.4182   16.946    0.51299
 65 Tb -1    4235.9696   16.853   10.80607
 65 Tb +0     391.9990   16.853    1.00000
 65 Tb +1     160.7927   16.853    0.41019
 66 Dy -1    3597.7456   16.565    9.49586
 66 Dy +0     378.8752   16.565    1.00000
 66 Dy +1     169.6173   16.565    0.44769
 67 Ho -1    3906.7094   16.318   10.65780
 67 Ho +0     366.5586   16.318    1.00000
 67 Ho +1     163.7779   16.318    0.44680
 68 Er -1    4771.0509   16.045   13.44276
 68 Er +0     354.9160   16.045    1.00000
 68 Er +1     158.2739   16.045    0.44595
 69 Tm -1    3033.3613   15.781    8.82019
 69 Tm +0     343.9112   15.781    1.00000
 69 Tm +1     153.0739   15.781    0.44510
 70 Yb -1  -18223.2123   15.525  -54.67123
 70 Yb +0     333.3236   15.525    1.00000
 70 Yb +1     148.1511   15.525    0.44447
 71 Lu -1    2431.6575   15.460    7.99809
 71 Lu +0     304.0299   15.460    1.00000
 71 Lu +1     143.4848   15.460    0.47194
 72 Hf -1   -1300.4557   14.884   -5.22298
 72 Hf +0     248.9874   14.884    1.00000
 72 Hf +1     128.2078   14.884    0.51492
 73 Ta -1     656.1481   14.303    3.08260
 73 Ta +0     212.8551   14.303    1.00000
 73 Ta +1     114.9767   14.303    0.54016
 74  W -1     523.7554   13.748    2.79778
 74  W +0     187.2041   13.748    1.00000
 74  W +1     103.9501   13.748    0.55528
 75 Re -1     677.4498   13.243    4.03383
 75 Re +0     167.9420   13.243    1.00000
 75 Re +1      94.7437   13.243    0.56415
 76 Os -1     644.5474   12.784    4.21927
 76 Os +0     152.7628   12.784    1.00000
 76 Os +1      86.9714   12.784    0.56932
 77 Ir -1    -847.5966   12.393   -6.03251
 77 Ir +0     140.5049   12.393    1.00000
 77 Ir +1      80.3315   12.393    0.57173
 78 Pt -1    -729.5925   11.591   -7.10444
 78 Pt +0     102.6953   11.591    1.00000
 78 Pt +1      74.5887   11.591    0.72631
 79 Au -1     525.8946   11.218    5.53098
 79 Au +0      95.0816   11.218    1.00000
 79 Au +1      49.5388   11.218    0.52101
 80 Hg -1    1316.9380   11.324   11.53121
 80 Hg +0     114.2064   11.324    1.00000
 80 Hg +1      46.2105   11.324    0.40462
 81 Tl -1    1518.8979   12.686   11.41570
 81 Tl +0     133.0535   12.686    1.00000
 81 Tl +1      61.2493   12.686    0.46034
 82 Pb -1     670.1950   13.333    5.79038
 82 Pb +0     115.7429   13.333    1.00000
 82 Pb +1      60.2816   13.333    0.52082
 83 Bi -1     286.6856   13.358    2.94854
 83 Bi +0      97.2298   13.358    1.00000
 83 Bi +1      55.6502   13.358    0.57236
 84 Po -1     169.4974   13.146    2.05990
 84 Po +0      82.2842   13.146    1.00000
 84 Po +1      50.3938   13.146    0.61244
 85 At -1     143.1345   12.811    2.02968
 85 At +0      70.5209   12.811    1.00000
 85 At +1      45.4274   12.811    0.64417
 86 Rn +0      61.1548   12.461    1.00000
 86 Rn +1      40.9794   12.461    0.67009
